"time","VA.mean_value"
"2023-12-15T13:04:00.000+04:00",
"2023-12-15T18:08:00.000+04:00",
"2023-12-15T23:12:00.000+04:00",
"2023-12-16T04:16:00.000+04:00",
"2023-12-16T09:20:00.000+04:00",
"2023-12-16T14:24:00.000+04:00",
"2023-12-16T19:28:00.000+04:00",
"2023-12-17T00:32:00.000+04:00",
"2023-12-17T05:36:00.000+04:00",
"2023-12-17T10:40:00.000+04:00",
"2023-12-17T15:44:00.000+04:00",
"2023-12-17T20:48:00.000+04:00",
"2023-12-18T01:52:00.000+04:00",
"2023-12-18T06:56:00.000+04:00",
"2023-12-18T12:00:00.000+04:00",
"2023-12-18T17:04:00.000+04:00",
"2023-12-18T22:08:00.000+04:00",
"2023-12-19T03:12:00.000+04:00",
"2023-12-19T08:16:00.000+04:00",
"2023-12-19T13:20:00.000+04:00",
"2023-12-19T18:24:00.000+04:00",
"2023-12-19T23:28:00.000+04:00",
"2023-12-20T04:32:00.000+04:00",
"2023-12-20T09:36:00.000+04:00",
"2023-12-20T14:40:00.000+04:00",
"2023-12-20T19:44:00.000+04:00",
"2023-12-21T00:48:00.000+04:00",
"2023-12-21T05:52:00.000+04:00",
"2023-12-21T10:56:00.000+04:00",
"2023-12-21T16:00:00.000+04:00",
"2023-12-21T21:04:00.000+04:00",
"2023-12-22T02:08:00.000+04:00",
"2023-12-22T07:12:00.000+04:00",
"2023-12-22T12:16:00.000+04:00",
"2023-12-22T17:20:00.000+04:00",
"2023-12-22T22:24:00.000+04:00",
"2023-12-23T03:28:00.000+04:00",
"2023-12-23T08:32:00.000+04:00",
"2023-12-23T13:36:00.000+04:00",
"2023-12-23T18:40:00.000+04:00",
"2023-12-23T23:44:00.000+04:00",
"2023-12-24T04:48:00.000+04:00",
"2023-12-24T09:52:00.000+04:00",
"2023-12-24T14:56:00.000+04:00",
"2023-12-24T20:00:00.000+04:00",
"2023-12-25T01:04:00.000+04:00",
"2023-12-25T06:08:00.000+04:00",
"2023-12-25T11:12:00.000+04:00",
"2023-12-25T16:16:00.000+04:00",
"2023-12-25T21:20:00.000+04:00",
"2023-12-26T02:24:00.000+04:00",
"2023-12-26T07:28:00.000+04:00",
"2023-12-26T12:32:00.000+04:00",
"2023-12-26T17:36:00.000+04:00",
"2023-12-26T22:40:00.000+04:00",
"2023-12-27T03:44:00.000+04:00",
"2023-12-27T08:48:00.000+04:00",
"2023-12-27T13:52:00.000+04:00",
"2023-12-27T18:56:00.000+04:00",
"2023-12-28T00:00:00.000+04:00",
"2023-12-28T05:04:00.000+04:00",
"2023-12-28T10:08:00.000+04:00",
"2023-12-28T15:12:00.000+04:00",
"2023-12-28T20:16:00.000+04:00",
"2023-12-29T01:20:00.000+04:00",
"2023-12-29T06:24:00.000+04:00",
"2023-12-29T11:28:00.000+04:00",
"2023-12-29T16:32:00.000+04:00",
"2023-12-29T21:36:00.000+04:00",
"2023-12-30T02:40:00.000+04:00",
"2023-12-30T07:44:00.000+04:00",
"2023-12-30T12:48:00.000+04:00",
"2023-12-30T17:52:00.000+04:00",
"2023-12-30T22:56:00.000+04:00",
"2023-12-31T04:00:00.000+04:00",
"2023-12-31T09:04:00.000+04:00",
"2023-12-31T14:08:00.000+04:00",
"2023-12-31T19:12:00.000+04:00",
"2024-01-01T00:16:00.000+04:00",
"2024-01-01T05:20:00.000+04:00",
"2024-01-01T10:24:00.000+04:00",
"2024-01-01T15:28:00.000+04:00",
"2024-01-01T20:32:00.000+04:00",
"2024-01-02T01:36:00.000+04:00",
"2024-01-02T06:40:00.000+04:00",
"2024-01-02T11:44:00.000+04:00",
"2024-01-02T16:48:00.000+04:00",
"2024-01-02T21:52:00.000+04:00",
"2024-01-03T02:56:00.000+04:00",
"2024-01-03T08:00:00.000+04:00",
"2024-01-03T13:04:00.000+04:00",
"2024-01-03T18:08:00.000+04:00",
"2024-01-03T23:12:00.000+04:00",
"2024-01-04T04:16:00.000+04:00",
"2024-01-04T09:20:00.000+04:00",
"2024-01-04T14:24:00.000+04:00",
"2024-01-04T19:28:00.000+04:00",
"2024-01-05T00:32:00.000+04:00",
"2024-01-05T05:36:00.000+04:00",
"2024-01-05T10:40:00.000+04:00",
"2024-01-05T15:44:00.000+04:00",
"2024-01-05T20:48:00.000+04:00",
"2024-01-06T01:52:00.000+04:00",
"2024-01-06T06:56:00.000+04:00",
"2024-01-06T12:00:00.000+04:00",
"2024-01-06T17:04:00.000+04:00",
"2024-01-06T22:08:00.000+04:00",
"2024-01-07T03:12:00.000+04:00",
"2024-01-07T08:16:00.000+04:00",
"2024-01-07T13:20:00.000+04:00",
"2024-01-07T18:24:00.000+04:00",
"2024-01-07T23:28:00.000+04:00",
"2024-01-08T04:32:00.000+04:00",
"2024-01-08T09:36:00.000+04:00",
"2024-01-08T14:40:00.000+04:00",
"2024-01-08T19:44:00.000+04:00",
"2024-01-09T00:48:00.000+04:00",
"2024-01-09T05:52:00.000+04:00",
"2024-01-09T10:56:00.000+04:00",
"2024-01-09T16:00:00.000+04:00","0"
"2024-01-09T21:04:00.000+04:00",
"2024-01-10T02:08:00.000+04:00",
"2024-01-10T07:12:00.000+04:00",
"2024-01-10T12:16:00.000+04:00","39.10526315789474"
"2024-01-10T17:20:00.000+04:00","31.547169811320753"
"2024-01-10T22:24:00.000+04:00","25.2"
"2024-01-11T03:28:00.000+04:00","40.74074074074074"
"2024-01-11T08:32:00.000+04:00","58.63636363636363"
"2024-01-11T13:36:00.000+04:00","50.30769230769231"
"2024-01-11T18:40:00.000+04:00","24.06"
"2024-01-11T23:44:00.000+04:00","32.17777777777778"
"2024-01-12T04:48:00.000+04:00","22.977777777777778"
"2024-01-12T09:52:00.000+04:00","32.78846153846154"
"2024-01-12T14:56:00.000+04:00","23.473684210526315"
"2024-01-12T20:00:00.000+04:00","25.62"
"2024-01-13T01:04:00.000+04:00","21.208333333333332"
"2024-01-13T06:08:00.000+04:00","33.52"
"2024-01-13T11:12:00.000+04:00","24.32"
"2024-01-13T16:16:00.000+04:00","31.217391304347824"
"2024-01-13T21:20:00.000+04:00","26.166666666666668"
"2024-01-14T02:24:00.000+04:00","26"
"2024-01-14T07:28:00.000+04:00","33.979166666666664"
"2024-01-14T12:32:00.000+04:00","41.54545454545455"
"2024-01-14T17:36:00.000+04:00","35.680851063829785"
"2024-01-14T22:40:00.000+04:00","32.96078431372549"
"2024-01-15T03:44:00.000+04:00","46.714285714285715"
"2024-01-15T08:48:00.000+04:00","46.62264150943396"
"2024-01-15T13:52:00.000+04:00","52.294117647058826"
"2024-01-15T18:56:00.000+04:00","20.083333333333332"
"2024-01-16T00:00:00.000+04:00","31.772727272727273"
"2024-01-16T05:04:00.000+04:00","50.55813953488372"
"2024-01-16T10:08:00.000+04:00","49.02127659574468"
"2024-01-16T15:12:00.000+04:00","34.55555555555556"
"2024-01-16T20:16:00.000+04:00","25.844444444444445"
"2024-01-17T01:20:00.000+04:00","23.53846153846154"
"2024-01-17T06:24:00.000+04:00","63.76"
"2024-01-17T11:28:00.000+04:00","61.34285714285714"
"2024-01-17T16:32:00.000+04:00","30.816326530612244"
"2024-01-17T21:36:00.000+04:00","31.02127659574468"
"2024-01-18T02:40:00.000+04:00","37.627906976744185"
"2024-01-18T07:44:00.000+04:00","62.470588235294116"
"2024-01-18T12:48:00.000+04:00","44.391304347826086"
"2024-01-18T17:52:00.000+04:00","24.46153846153846"
"2024-01-18T22:56:00.000+04:00","29.26"
"2024-01-19T04:00:00.000+04:00","26.977272727272727"
"2024-01-19T09:04:00.000+04:00","33.729166666666664"
"2024-01-19T14:08:00.000+04:00","33.458333333333336"
"2024-01-19T19:12:00.000+04:00","30.95744680851064"
"2024-01-20T00:16:00.000+04:00","22.681818181818183"
"2024-01-20T05:20:00.000+04:00","21.41304347826087"
"2024-01-20T10:24:00.000+04:00","24.583333333333332"
"2024-01-20T15:28:00.000+04:00","30.869565217391305"
"2024-01-20T20:32:00.000+04:00","30.21276595744681"
"2024-01-21T01:36:00.000+04:00","30.020408163265305"
"2024-01-21T06:40:00.000+04:00","27.807692307692307"
"2024-01-21T11:44:00.000+04:00","28.78"
"2024-01-21T16:48:00.000+04:00","22.093023255813954"
"2024-01-21T21:52:00.000+04:00","25.3125"
"2024-01-22T02:56:00.000+04:00","26.4375"
"2024-01-22T08:00:00.000+04:00","69.85714285714286"
"2024-01-22T13:04:00.000+04:00","58.98076923076923"
"2024-01-22T18:08:00.000+04:00","27.547619047619047"
"2024-01-22T23:12:00.000+04:00","26.844444444444445"
"2024-01-23T04:16:00.000+04:00","43.333333333333336"
"2024-01-23T09:20:00.000+04:00","59.96363636363636"
"2024-01-23T14:24:00.000+04:00","45.78"
"2024-01-23T19:28:00.000+04:00","31.956521739130434"
"2024-01-24T00:32:00.000+04:00","32.148936170212764"
"2024-01-24T05:36:00.000+04:00","55.458333333333336"
"2024-01-24T10:40:00.000+04:00","52.236363636363635"
"2024-01-24T15:44:00.000+04:00","29.5625"
"2024-01-24T20:48:00.000+04:00","29.693877551020407"
"2024-01-25T01:52:00.000+04:00","34.05769230769231"
"2024-01-25T06:56:00.000+04:00","54.083333333333336"
