"time","°C.mean_value"
"2023-10-01T10:12:00.000+04:00",
"2023-10-01T20:16:00.000+04:00",
"2023-10-02T06:20:00.000+04:00",
"2023-10-02T16:24:00.000+04:00",
"2023-10-03T02:28:00.000+04:00",
"2023-10-03T12:32:00.000+04:00",
"2023-10-03T22:36:00.000+04:00",
"2023-10-04T08:40:00.000+04:00",
"2023-10-04T18:44:00.000+04:00",
"2023-10-05T04:48:00.000+04:00",
"2023-10-05T14:52:00.000+04:00",
"2023-10-06T00:56:00.000+04:00",
"2023-10-06T11:00:00.000+04:00",
"2023-10-06T21:04:00.000+04:00",
"2023-10-07T07:08:00.000+04:00",
"2023-10-07T17:12:00.000+04:00",
"2023-10-08T03:16:00.000+04:00",
"2023-10-08T13:20:00.000+04:00",
"2023-10-08T23:24:00.000+04:00",
"2023-10-09T09:28:00.000+04:00",
"2023-10-09T19:32:00.000+04:00",
"2023-10-10T05:36:00.000+04:00",
"2023-10-10T15:40:00.000+04:00",
"2023-10-11T01:44:00.000+04:00",
"2023-10-11T11:48:00.000+04:00",
"2023-10-11T21:52:00.000+04:00",
"2023-10-12T07:56:00.000+04:00",
"2023-10-12T18:00:00.000+04:00",
"2023-10-13T04:04:00.000+04:00",
"2023-10-13T14:08:00.000+04:00",
"2023-10-14T00:12:00.000+04:00",
"2023-10-14T10:16:00.000+04:00",
"2023-10-14T20:20:00.000+04:00",
"2023-10-15T06:24:00.000+04:00",
"2023-10-15T16:28:00.000+04:00",
"2023-10-16T02:32:00.000+04:00",
"2023-10-16T12:36:00.000+04:00",
"2023-10-16T22:40:00.000+04:00",
"2023-10-17T08:44:00.000+04:00",
"2023-10-17T18:48:00.000+04:00",
"2023-10-18T04:52:00.000+04:00",
"2023-10-18T14:56:00.000+04:00",
"2023-10-19T01:00:00.000+04:00",
"2023-10-19T11:04:00.000+04:00",
"2023-10-19T21:08:00.000+04:00",
"2023-10-20T07:12:00.000+04:00",
"2023-10-20T17:16:00.000+04:00",
"2023-10-21T03:20:00.000+04:00",
"2023-10-21T13:24:00.000+04:00",
"2023-10-21T23:28:00.000+04:00",
"2023-10-22T09:32:00.000+04:00",
"2023-10-22T19:36:00.000+04:00",
"2023-10-23T05:40:00.000+04:00",
"2023-10-23T15:44:00.000+04:00",
"2023-10-24T01:48:00.000+04:00",
"2023-10-24T11:52:00.000+04:00",
"2023-10-24T21:56:00.000+04:00",
"2023-10-25T08:00:00.000+04:00",
"2023-10-25T18:04:00.000+04:00",
"2023-10-26T04:08:00.000+04:00",
"2023-10-26T14:12:00.000+04:00",
"2023-10-27T00:16:00.000+04:00",
"2023-10-27T10:20:00.000+04:00",
"2023-10-27T20:24:00.000+04:00",
"2023-10-28T06:28:00.000+04:00",
"2023-10-28T16:32:00.000+04:00",
"2023-10-29T02:36:00.000+04:00",
"2023-10-29T12:40:00.000+04:00",
"2023-10-29T22:44:00.000+04:00",
"2023-10-30T08:48:00.000+04:00",
"2023-10-30T18:52:00.000+04:00",
"2023-10-31T04:56:00.000+04:00",
"2023-10-31T15:00:00.000+04:00",
"2023-11-01T01:04:00.000+04:00",
"2023-11-01T11:08:00.000+04:00",
"2023-11-01T21:12:00.000+04:00",
"2023-11-02T07:16:00.000+04:00",
"2023-11-02T17:20:00.000+04:00",
"2023-11-03T03:24:00.000+04:00",
"2023-11-03T13:28:00.000+04:00",
"2023-11-03T23:32:00.000+04:00",
"2023-11-04T09:36:00.000+04:00",
"2023-11-04T19:40:00.000+04:00",
"2023-11-05T05:44:00.000+04:00",
"2023-11-05T15:48:00.000+04:00",
"2023-11-06T01:52:00.000+04:00",
"2023-11-06T11:56:00.000+04:00",
"2023-11-06T22:00:00.000+04:00",
"2023-11-07T08:04:00.000+04:00",
"2023-11-07T18:08:00.000+04:00",
"2023-11-08T04:12:00.000+04:00",
"2023-11-08T14:16:00.000+04:00",
"2023-11-09T00:20:00.000+04:00",
"2023-11-09T10:24:00.000+04:00",
"2023-11-09T20:28:00.000+04:00",
"2023-11-10T06:32:00.000+04:00",
"2023-11-10T16:36:00.000+04:00",
"2023-11-11T02:40:00.000+04:00",
"2023-11-11T12:44:00.000+04:00",
"2023-11-11T22:48:00.000+04:00",
"2023-11-12T08:52:00.000+04:00",
"2023-11-12T18:56:00.000+04:00",
"2023-11-13T05:00:00.000+04:00",
"2023-11-13T15:04:00.000+04:00",
"2023-11-14T01:08:00.000+04:00",
"2023-11-14T11:12:00.000+04:00",
"2023-11-14T21:16:00.000+04:00",
"2023-11-15T07:20:00.000+04:00",
"2023-11-15T17:24:00.000+04:00",
"2023-11-16T03:28:00.000+04:00",
"2023-11-16T13:32:00.000+04:00",
"2023-11-16T23:36:00.000+04:00",
"2023-11-17T09:40:00.000+04:00",
"2023-11-17T19:44:00.000+04:00",
"2023-11-18T05:48:00.000+04:00",
"2023-11-18T15:52:00.000+04:00",
"2023-11-19T01:56:00.000+04:00",
"2023-11-19T12:00:00.000+04:00",
"2023-11-19T22:04:00.000+04:00",
"2023-11-20T08:08:00.000+04:00",
"2023-11-20T18:12:00.000+04:00",
"2023-11-21T04:16:00.000+04:00",
"2023-11-21T14:20:00.000+04:00",
"2023-11-22T00:24:00.000+04:00",
"2023-11-22T10:28:00.000+04:00",
"2023-11-22T20:32:00.000+04:00",
"2023-11-23T06:36:00.000+04:00",
"2023-11-23T16:40:00.000+04:00",
"2023-11-24T02:44:00.000+04:00",
"2023-11-24T12:48:00.000+04:00",
"2023-11-24T22:52:00.000+04:00",
"2023-11-25T08:56:00.000+04:00",
"2023-11-25T19:00:00.000+04:00",
"2023-11-26T05:04:00.000+04:00",
"2023-11-26T15:08:00.000+04:00",
"2023-11-27T01:12:00.000+04:00",
"2023-11-27T11:16:00.000+04:00",
"2023-11-27T21:20:00.000+04:00",
"2023-11-28T07:24:00.000+04:00",
"2023-11-28T17:28:00.000+04:00",
"2023-11-29T03:32:00.000+04:00",
"2023-11-29T13:36:00.000+04:00",
"2023-11-29T23:40:00.000+04:00",
"2023-11-30T09:44:00.000+04:00",
"2023-11-30T19:48:00.000+04:00",
"2023-12-01T05:52:00.000+04:00",
"2023-12-01T15:56:00.000+04:00",
"2023-12-02T02:00:00.000+04:00",
"2023-12-02T12:04:00.000+04:00",
"2023-12-02T22:08:00.000+04:00",
"2023-12-03T08:12:00.000+04:00",
"2023-12-03T18:16:00.000+04:00",
"2023-12-04T04:20:00.000+04:00",
"2023-12-04T14:24:00.000+04:00",
"2023-12-05T00:28:00.000+04:00",
"2023-12-05T10:32:00.000+04:00",
"2023-12-05T20:36:00.000+04:00",
"2023-12-06T06:40:00.000+04:00",
"2023-12-06T16:44:00.000+04:00",
"2023-12-07T02:48:00.000+04:00",
"2023-12-07T12:52:00.000+04:00",
"2023-12-07T22:56:00.000+04:00",
"2023-12-08T09:00:00.000+04:00",
"2023-12-08T19:04:00.000+04:00",
"2023-12-09T05:08:00.000+04:00",
"2023-12-09T15:12:00.000+04:00",
"2023-12-10T01:16:00.000+04:00",
"2023-12-10T11:20:00.000+04:00",
"2023-12-10T21:24:00.000+04:00",
"2023-12-11T07:28:00.000+04:00",
"2023-12-11T17:32:00.000+04:00",
"2023-12-12T03:36:00.000+04:00",
"2023-12-12T13:40:00.000+04:00",
"2023-12-12T23:44:00.000+04:00",
"2023-12-13T09:48:00.000+04:00","21.46"
"2023-12-13T19:52:00.000+04:00","21.06774193548388"
"2023-12-14T05:56:00.000+04:00","21.536363636363635"
"2023-12-14T16:00:00.000+04:00","21.36363636363636"
"2023-12-15T02:04:00.000+04:00","21.45909090909091"
"2023-12-15T12:08:00.000+04:00","21.705555555555556"
"2023-12-15T22:12:00.000+04:00","21.710526315789473"
"2023-12-16T08:16:00.000+04:00","21.861111111111107"
